statement,status
For a while now I'm afraid of embarrassing myself in front of others,Anxiety
Recently I feel like I am stuck in a dark place and I do not know what to do.,Depression
Recently I feel dread every morning when I wake up and it is hard.,Anxiety
Often Then I slept for 15 hours because I felt so depressed and that worries me.,Bi-Polar
I notice that I felt invincible last week and now I feel worthless and I do not know what to do.,Bi-Polar
To be honest I sometimes hurt myself when I feel overwhelmed and that worries me.,Personality Disorder
I feel like nobody would miss me if I were gone every single day.,Suicidal
Recently Work is stressing me out more than ever lately.,Stress
Recently I feel irritable and snappy because of stress and it is exhausting.,Stress
I notice that I think the world would be better without me in it more than I would like to admit.,Suicidal
Often I feel like other people do not experience emotions as strongly as I do and it is hard.,Personality Disorder
I had a nice conversation and feel uplifted which is not normal for me.,Normal
Lately Simple tasks feel overwhelming because I overthink them which is not normal for me.,Anxiety
Lately I feel on edge even when I am at home and it is hard.,Anxiety
Honestly I feel like people always leave me and it is my fault which is not normal for me.,Personality Disorder
Often I feel thankful for the small joys in my day and I wish I could change it.,Normal
Today I feel unstable and it is very hard to maintain a routine and it is hard.,Bi-Polar
It feels like I managed to finish a big task at work and feel proud more than I would like to admit.,Normal
Recently I am feeling motivated and focused and I wish I could change it.,Normal
Recently I have been eating too much or too little lately which is not normal for me.,Depression
I feel like I don't enjoy food or hobbies anymore and it is exhausting.,Depression
Every day I feel like everyone would be better off without me lately.,Suicidal
Recently I feel irritable and snappy because of stress which is not normal for me.,Stress
Lately I feel so restless like I cannot sit still and that worries me.,Anxiety
Recently I feel like I have lost my purpose and it is exhausting.,Depression
Today I keep imagining worst case scenarios every single day.,Anxiety
Recently I am happy with where things are going in my life and it is hard.,Normal
Honestly I feel like I am never just okay I am always too happy or too sad and it is exhausting.,Bi-Polar
Every day I feel like my core identity is unstable and shifting and it has been going on for a while.,Personality Disorder
Recently I feel like I have lost my purpose and I wish I could change it.,Depression
Every day But last month I could not leave my room for weeks and it has been going on for a while.,Bi-Polar
Often I think about hurting myself when the pain gets too bad lately.,Suicidal
Lately I have been very talkative and energetic for days now and I do not know what to do.,Bi-Polar
Lately I feel like the pain will never stop so why continue and I wish I could change it.,Suicidal
Often I used to love going out but now I just stay home and that worries me.,Depression
Every day I have been thinking about suicide more and more and it has been going on for a while.,Suicidal
I think I feel like ending it all is the only option left more than I would like to admit.,Suicidal
Recently I am making progress on my goals and feel encouraged every single day.,Normal
To be honest I feel like I am going through the motions every day and it is hard.,Depression
I have been thinking about ways to hurt myself which is not normal for me.,Suicidal
I notice that I feel like I want to end everything tonight and that worries me.,Suicidal
Lately I had a great conversation with a friend today lately.,Normal
Often Deadlines are piling up and I feel panicked,Stress
Often I feel stressed about my future and what will happen lately.,Stress
It feels like I made a lot of impulsive decisions when I was in a high mood and it is hard.,Bi-Polar
Honestly I am looking forward to the weekend and it is hard.,Normal
It feels like I cannot concentrate because my thoughts are all over the place,Anxiety
Lately My mood swings so much it is hard to keep up and it is exhausting.,Bi-Polar
Most days Everything feels like too much effort and I wish I could change it.,Depression
Recently I feel a sense of purpose in what I am doing,Normal
It feels like like I am always in crisis mode which is not normal for me.,Stress
Most days I struggle to maintain stable relationships and I do not know what to do.,Personality Disorder
I feel like Then I slept for 15 hours because I felt so depressed and that worries me.,Bi-Polar
Today I alternate between feeling special and feeling worthless and it is exhausting.,Personality Disorder
It feels like very negative about myself and my future and I do not know what to do.,Depression
To be honest Leaving the house feels really hard some days and it is exhausting.,Anxiety
Lately Deadlines are piling up and I feel panicked and I do not know what to do.,Stress
It feels like like my emotions control me rather than the other way around and it has been going on for a while.,Personality Disorder
Every day Even small decisions make me feel anxious lately.,Anxiety
To be honest I feel empty and see no reason to continue every single day.,Suicidal
For a while now I do impulsive things that hurt me without thinking first and I do not know what to do.,Personality Disorder
Today I feel like I am a burden and life would be easier without me and I do not know what to do.,Suicidal
Often I feel deeply misunderstood by most people which is not normal for me.,Personality Disorder
Today I have been grinding my teeth at night from stress more than I would like to admit.,Stress
Today I feel like I am a burden and life would be easier without me and I do not know what to do.,Suicidal
Most days I feel grateful and present in the moment lately.,Normal
Most days I feel like people always leave me and it is my fault and I wish I could change it.,Personality Disorder
It feels like like my core identity is unstable and shifting every single day.,Personality Disorder
My emotions go from one extreme to the other very quickly and it has been going on for a while.,Bi-Polar
Recently I feel like I am stuck in a dark place and it is hard.,Depression
I think I feel like I would rather not exist,Suicidal
Every day I feel like my life has no value every single day.,Suicidal
To be honest I feel empty and see no reason to continue and it is hard.,Suicidal
Often My stomach hurts because I'm so worried and it has been going on for a while.,Anxiety
It feels like I have been eating too much or too little lately more than I would like to admit.,Depression
Today I feel like I sabotage things when they are going well and that worries me.,Personality Disorder
I think My hands are shaking and I feel tense and that worries me.,Anxiety
I notice that I think the world would be better without me in it,Suicidal
Today I feel supported by the people around me and I wish I could change it.,Normal
Recently I have been eating too much or too little lately which is not normal for me.,Depression
I notice that I think the world would be better without me in it and I wish I could change it.,Suicidal
I think I'm afraid of embarrassing myself in front of others and I wish I could change it.,Anxiety
Often I think about ending my life sometimes every single day.,Suicidal
Every day Then I feel heavy and hopeless and cannot do anything,Bi-Polar
It feels like dread every morning when I wake up and I wish I could change it.,Anxiety
I notice that I feel like I am done with life and I do not know what to do.,Suicidal
To be honest I get headaches from all the stress I am under every single day.,Stress
Recently I have been thinking about suicide more and more,Suicidal
Today Work has been going well and I feel productive and I wish I could change it.,Normal
Often I feel like nothing will ever get better so why try and it is exhausting.,Suicidal
For a while now I feel like I sabotage things when they are going well and I wish I could change it.,Personality Disorder
I notice that Everything feels like too much effort which is not normal for me.,Depression
Often I feel like I have run out of reasons to stay alive lately.,Suicidal
Most days I feel burned out and exhausted from all the pressure and that worries me.,Stress
Honestly Getting out of bed feels impossible these days,Depression
Sometimes I am so stressed that I feel sick to my stomach and I wish I could change it.,Stress
For a while now I feel like ending it all is the only option left lately.,Suicidal
To be honest I feel happy about the progress I have been making and that worries me.,Normal
I feel like I am on a rollercoaster I cannot get off every single day.,Bi-Polar
Often I feel positive about the future and I wish I could change it.,Normal
To be honest I feel physically tense all the time because of stress and that worries me.,Stress
I notice that I am tired of fighting and want to stop more than I would like to admit.,Suicidal
To be honest I feel so nervous and I don't know why and that worries me.,Anxiety
Honestly I feel like relationships are very all or nothing for me and it has been going on for a while.,Personality Disorder
Recently I feel like myself today which is a good feeling and it is exhausting.,Normal
Sometimes I feel very empty inside most of the time and it is exhausting.,Personality Disorder
I think I feel stressed about money and I can't stop thinking about it and I do not know what to do.,Stress
Recently Even small decisions make me feel anxious every single day.,Anxiety
I am so stressed that I feel sick to my stomach and I wish I could change it.,Stress
For a while now Sometimes I feel so energetic I barely need sleep every single day.,Bi-Polar
Lately I feel very creative and energetic sometimes without explanation every single day.,Bi-Polar
It feels like like nobody would notice if I disappeared and I wish I could change it.,Depression
Most days I feel like my stress is making me physically ill every single day.,Stress
To be honest I have been isolating myself from friends and family more than I would like to admit.,Depression
Often I feel mentally clear and emotionally stable and I wish I could change it.,Normal
It feels like a sense of purpose in what I am doing and I wish I could change it.,Normal
To be honest I feel like I don't really know who I am which is not normal for me.,Personality Disorder
I feel like a burden to everyone around me every single day.,Depression
I notice that I avoid going to crowded places because I get overwhelmed more than I would like to admit.,Anxiety
Often I feel short of breath when I am stressed,Anxiety
My appetite changes completely depending on my mood and I do not know what to do.,Bi-Polar
Lately I feel like I am always behind no matter how hard I try more than I would like to admit.,Stress
I notice that I have done things I regret when I was overwhelmed with emotion more than I would like to admit.,Personality Disorder
Sometimes I have been thinking about ways to hurt myself lately.,Suicidal
Today I cannot enjoy anything because I am always stressed and it is exhausting.,Stress
Honestly I feel like relationships are very all or nothing for me more than I would like to admit.,Personality Disorder
Lately I feel well-rested and energized for the day and it is hard.,Normal
Often I felt on top of the world yesterday but today I feel hopeless and it is exhausting.,Bi-Polar
I feel like I cry for no reason sometimes and I wish I could change it.,Depression
For a while now I cannot relax even on weekends because of work stress lately.,Stress
Recently I made a lot of impulsive decisions when I was in a high mood and that worries me.,Bi-Polar
I feel like I feel mentally clear and emotionally stable and that worries me.,Normal
Most days I always feel like something bad is about to happen and that worries me.,Anxiety
I feel like Simple tasks feel overwhelming because I overthink them and it has been going on for a while.,Anxiety
Often I have so much on my plate and I don't know where to start and it is exhausting.,Stress
Sometimes I go from loving someone to hating them very quickly and I wish I could change it.,Personality Disorder
I think Work has been going well and I feel productive and I do not know what to do.,Normal
Sometimes I had a productive day and feel satisfied and that worries me.,Normal
I am enjoying my hobbies and feeling good and I do not know what to do.,Normal
It feels like My mood is unpredictable and it affects everyone around me and I wish I could change it.,Bi-Polar
It feels like I have been giving away my things lately more than I would like to admit.,Suicidal
Honestly I feel like I am never good enough no matter what I do and that worries me.,Personality Disorder
Often I don't enjoy food or hobbies anymore and I do not know what to do.,Depression
Most days I feel like I want to end everything tonight and it is exhausting.,Suicidal
Lately I feel like I can never relax or take a break every single day.,Anxiety
Often My heart is racing and I can't calm down and it is hard.,Anxiety
For a while now I do impulsive things that hurt me without thinking first more than I would like to admit.,Personality Disorder
Lately I do not see the point of living anymore lately.,Suicidal
Recently I feel like my emotions control me rather than the other way around every single day.,Personality Disorder
Honestly I feel like people always leave me and it is my fault and that worries me.,Personality Disorder
I feel like Simple tasks feel overwhelming because I overthink them lately.,Anxiety
My relationships suffer because of my extreme mood changes and it is exhausting.,Bi-Polar
It feels like disconnected from life and the people around me and I wish I could change it.,Depression
Most days I think about death a lot and it comforts me and it is hard.,Suicidal
Sometimes I feel physically tense all the time because of stress and it is hard.,Stress
I think I get very anxious before meetings or social events and it is exhausting.,Anxiety
Most days I feel like two different people at different times lately.,Bi-Polar
Every day But last month I could not leave my room for weeks and I do not know what to do.,Bi-Polar
Lately I feel like I am juggling too many things at once and it is hard.,Stress
Sometimes I had a productive day and feel satisfied which is not normal for me.,Normal
Most days I don't feel like talking to anyone and that worries me.,Depression
For a while now I feel like I am invisible and nobody cares if I live or die and it has been going on for a while.,Suicidal
I feel like When I am angry I cannot control my reactions which is not normal for me.,Personality Disorder
Every day I feel so worthless that I think dying would be better and I do not know what to do.,Suicidal
It feels like very sensitive to rejection and criticism which is not normal for me.,Personality Disorder
I feel like giving up even though I know I should not more than I would like to admit.,Depression
Recently I feel irritable and snappy because of stress and that worries me.,Stress
Sometimes I feel happy about the progress I have been making every single day.,Normal
Sometimes I am so stressed that I feel sick to my stomach and it is exhausting.,Stress
Recently I feel tense in my shoulders and chest all day,Anxiety
It feels like I have been eating too much or too little lately lately.,Depression
To be honest I feel completely hopeless and see no way out and it has been going on for a while.,Suicidal
Sometimes I feel uneasy and I don't know why and that worries me.,Anxiety
Today I feel like giving up on life completely lately.,Suicidal
For a while now I feel so low that I cannot see any way forward,Suicidal
To be honest I feel no major worries today and that feels nice and it is hard.,Normal
I think I feel completely alone even when surrounded by people and that worries me.,Depression
For a while now I feel like I am too intense for most people and I do not know what to do.,Personality Disorder
I feel empty and see no reason to continue more than I would like to admit.,Suicidal
I think I feel optimistic and hopeful about my future and it is exhausting.,Normal
For a while now I feel empty inside like nothing matters and it is exhausting.,Depression
Honestly I always feel like something bad is about to happen and I wish I could change it.,Anxiety
Often I feel grandiose and special sometimes but then worthless the next and I do not know what to do.,Bi-Polar
It feels like I had a great week but now I feel really low for no reason lately.,Bi-Polar
Recently I had racing thoughts for days and could not slow down more than I would like to admit.,Bi-Polar
Today I feel like I need to do everything at once when I am high and it has been going on for a while.,Bi-Polar
For a while now I feel like I sabotage things when they are going well every single day.,Personality Disorder
Often I feel stressed about my future and what will happen and I do not know what to do.,Stress
Recently I feel like I am stuck in a dark place more than I would like to admit.,Depression
I think I feel like I need constant reassurance that people care lately.,Personality Disorder
Lately I do not see the point of living anymore every single day.,Suicidal
Today I feel short-tempered and frustrated because of stress and it is hard.,Stress
Every day Even small decisions make me feel anxious,Anxiety
Often But when I am low I can barely get out of bed and it is exhausting.,Bi-Polar
Often I think about hurting myself when the pain gets too bad and it is exhausting.,Suicidal
It feels like But last month I could not leave my room for weeks more than I would like to admit.,Bi-Polar
Today I feel content and grateful for my life more than I would like to admit.,Normal
Most days I have done things I regret when I was overwhelmed with emotion and it is hard.,Personality Disorder
Every day I have been thinking about suicide more and more lately.,Suicidal
I feel like I feel pressure from all sides and cannot handle it and I wish I could change it.,Stress
I notice that I felt invincible last week and now I feel worthless lately.,Bi-Polar
Often I feel like my identity changes depending on who I am with every single day.,Personality Disorder
Sometimes I am overwhelmed by financial stress and do not know what to do which is not normal for me.,Stress
I think I feel like giving up on life completely,Suicidal
It feels like People around me notice my mood changes before I do lately.,Bi-Polar
For a while now I feel hopeless about the future every single day.,Depression
Recently I feel like my life has no value and it is exhausting.,Suicidal
Most days I went for a walk and felt refreshed and I do not know what to do.,Normal
Honestly I feel like life is not worth living which is not normal for me.,Suicidal
Sometimes I go from loving someone to hating them very quickly and it is hard.,Personality Disorder
I feel like I think about hurting myself when the pain gets too bad and it is hard.,Suicidal
To be honest My appetite changes completely depending on my mood and it has been going on for a while.,Bi-Polar
Today I cannot relax even on weekends because of work stress,Stress
I think I am terrified of being abandoned by the people I love which is not normal for me.,Personality Disorder
Most days I feel at ease and comfortable with myself which is not normal for me.,Normal
Sometimes I have been isolating myself from friends and family and that worries me.,Depression
Sometimes I get really nervous in new situations and it is exhausting.,Anxiety
To be honest I feel very empty inside most of the time and that worries me.,Personality Disorder
I feel like I do not fit in anywhere every single day.,Personality Disorder
I notice that I feel confused about whether I am happy or sad and that worries me.,Bi-Polar
Today Sometimes I feel so energetic I barely need sleep and it is hard.,Bi-Polar
Most days I feel like my stress is making me physically ill and that worries me.,Stress
Today Even good news can make me feel anxious,Anxiety
I notice that I feel like my heart is going to jump out of my chest,Anxiety
Most days I have been saying goodbye to people close to me and that worries me.,Suicidal
Most days I don't feel like talking to anyone which is not normal for me.,Depression
It feels like I get panic attacks out of nowhere more than I would like to admit.,Anxiety
I feel like I feel thankful for the small joys in my day and it is exhausting.,Normal
Lately I don't enjoy food or hobbies anymore lately.,Depression
Lately I feel like nothing will ever get better so why try which is not normal for me.,Suicidal
Honestly I always feel like something bad is about to happen and it has been going on for a while.,Anxiety
Lately I feel worthless and like I am not good enough every single day.,Depression
Every day My mood is unpredictable and it affects everyone around me,Bi-Polar
I think I am feeling steady and grounded more than I would like to admit.,Normal
I feel like I do not see the point of living anymore more than I would like to admit.,Suicidal
Honestly I feel like I cannot handle any more pressure and I wish I could change it.,Anxiety
Honestly I feel confused about whether I am happy or sad,Bi-Polar
For a while now I feel overwhelmed by sadness all the time and I wish I could change it.,Depression
Every small thing feels like a huge problem right now and that worries me.,Stress
I feel no major worries today and that feels nice and I wish I could change it.,Normal
I feel like my identity changes depending on who I am with and I wish I could change it.,Personality Disorder
For a while now I feel supported by the people around me lately.,Normal
To be honest I feel like nobody would miss me if I were gone every single day.,Suicidal
Recently Then I feel heavy and hopeless and cannot do anything and that worries me.,Bi-Polar
Today I feel content and grateful for my life and it is hard.,Normal
Often I don't enjoy food or hobbies anymore and it has been going on for a while.,Depression
I think Now I feel so empty and cannot think clearly at all and I do not know what to do.,Bi-Polar
I feel like I used to love going out but now I just stay home every single day.,Depression
I think I feel so low that I cannot see any way forward more than I would like to admit.,Suicidal
Most days I am tired of fighting and want to stop and I do not know what to do.,Suicidal
I think I don't see any reason to keep going and it has been going on for a while.,Suicidal
Every day Work is stressing me out more than ever more than I would like to admit.,Stress
Most days I feel like I am never just okay I am always too happy or too sad lately.,Bi-Polar
To be honest I feel like I don't really know who I am and I do not know what to do.,Personality Disorder
I notice that I feel like the pressure is never going to let up and it has been going on for a while.,Stress
Today I feel like I am too intense for most people and that worries me.,Personality Disorder
Lately I cry for no reason sometimes which is not normal for me.,Depression
Every day Then I feel heavy and hopeless and cannot do anything and it is hard.,Bi-Polar
It feels like very negative about myself and my future and I do not know what to do.,Depression
Every day I cannot concentrate because my thoughts are all over the place more than I would like to admit.,Anxiety
Often I feel like giving up even though I know I should not and I do not know what to do.,Depression
I feel so nervous and I don't know why and that worries me.,Anxiety
Lately I keep thinking about what it would be like to die and I wish I could change it.,Suicidal
To be honest I feel like I cannot take the pain anymore,Suicidal
Every day I feel anxious about going out today more than I would like to admit.,Anxiety
Sometimes I have been thinking about ways to hurt myself,Suicidal
For a while now I have been grinding my teeth at night from stress and that worries me.,Stress
Often Deadlines are piling up and I feel panicked,Stress
For a while now I am terrified of being abandoned by the people I love,Personality Disorder
Every day I push people away even when I want them to stay and that worries me.,Personality Disorder
Every day I cannot concentrate because my thoughts are all over the place and it is hard.,Anxiety
Often My stomach hurts because I'm so worried every single day.,Anxiety
Often I used to love going out but now I just stay home lately.,Depression
For a while now I feel supported by the people around me and it has been going on for a while.,Normal
Often I feel confident and ready to face challenges and that worries me.,Normal
Recently I have been thinking that everyone would move on just fine without me lately.,Suicidal
I feel like I have no stable sense of self and it has been going on for a while.,Personality Disorder
I think I don't see any reason to keep going and it has been going on for a while.,Suicidal
Recently I feel like my core identity is unstable and shifting and it is hard.,Personality Disorder
It feels like Then I feel heavy and hopeless and cannot do anything and it is exhausting.,Bi-Polar
Most days Everything feels like too much effort and it is exhausting.,Depression
When I am in a high phase I feel like I can do anything and it has been going on for a while.,Bi-Polar
I think I feel so low that I cannot see any way forward which is not normal for me.,Suicidal
I feel like I am trapped in my own patterns and cannot break free and it is hard.,Personality Disorder
I notice that I slept well last night and feel energized and it has been going on for a while.,Normal
For a while now I avoid phone calls because they make me anxious and it has been going on for a while.,Anxiety
Today I spent too much money when I was feeling really good which is not normal for me.,Bi-Polar
Most days I feel burned out and exhausted from all the pressure lately.,Stress
Lately I feel so stressed that I have stopped taking care of myself lately.,Stress
I notice that I think about death a lot and it comforts me,Suicidal
Recently I lost interest in things I used to enjoy and it is hard.,Depression
To be honest I have a very unstable self-image more than I would like to admit.,Personality Disorder
Lately My mood swings so much it is hard to keep up and it has been going on for a while.,Bi-Polar
I notice that Everything feels like too much effort and that worries me.,Depression
I feel like Deadlines are piling up and I feel panicked which is not normal for me.,Stress
I think I feel completely alone even when surrounded by people,Depression
To be honest I feel like I cannot meet everyone's expectations and that worries me.,Stress
Often But when I am low I can barely get out of bed more than I would like to admit.,Bi-Polar
Most days I feel sad and I do not know how to feel better every single day.,Depression
Every day I managed to finish a big task at work and feel proud and it is exhausting.,Normal
Recently I have very intense emotions that shift very quickly and it is exhausting.,Personality Disorder
Honestly I have done things I regret when I was overwhelmed with emotion more than I would like to admit.,Personality Disorder
I think I feel like ending it all is the only option left,Suicidal
Most days I feel like life is not worth living more than I would like to admit.,Suicidal
Sometimes I feel physically tense all the time because of stress,Stress
Every day I am happy with where things are going in my life more than I would like to admit.,Normal
Often I feel well-rested and energized for the day,Normal
Every day I feel balanced and calm today and it is hard.,Normal
I notice that Then when I am low I feel paralyzed and cannot do anything,Bi-Polar
Every day I feel balanced and calm today and it is exhausting.,Normal
Most days I feel like I am never good enough no matter what I do and that worries me.,Personality Disorder
Every day I am happy with where things are going in my life which is not normal for me.,Normal
Sometimes I feel completely overwhelmed by everything I have to do and it has been going on for a while.,Stress
Recently I feel like I am stuck in a dark place and it is exhausting.,Depression
Honestly Then suddenly I crash and feel totally depressed and I do not know what to do.,Bi-Polar
I feel like I am trapped in my own patterns and cannot break free more than I would like to admit.,Personality Disorder
I can't switch off even when I get home and it has been going on for a while.,Stress
I feel like My boss keeps piling more work on me and I can't cope and I wish I could change it.,Stress
I notice that I act impulsively to avoid feeling the pain I carry inside and it is hard.,Personality Disorder
Today I do impulsive things that hurt me without thinking first and that worries me.,Personality Disorder
It feels like like myself today which is a good feeling and that worries me.,Normal
Sometimes I have been isolating myself from friends and family and it is hard.,Depression
I notice that I feel like I want to end everything tonight and I do not know what to do.,Suicidal
Today I feel like I never have enough time to finish everything which is not normal for me.,Stress
Often I don't enjoy food or hobbies anymore which is not normal for me.,Depression
Most days I went for a walk and felt refreshed,Normal
I think I have very high highs and very low lows and it is exhausting.,Bi-Polar
To be honest I have been thinking about ways to hurt myself every single day.,Suicidal
I notice that Getting out of bed feels impossible these days,Depression
I think I feel like giving up on life completely and I wish I could change it.,Suicidal
I have been isolating myself from friends and family,Depression
Sometimes I feel very empty inside most of the time every single day.,Personality Disorder
Most days Getting out of bed feels impossible these days which is not normal for me.,Depression
Every day People around me notice my mood changes before I do and it is exhausting.,Bi-Polar
I feel like I am on a rollercoaster I cannot get off lately.,Bi-Polar
Sometimes I am managing my time well and feel in control and it is hard.,Normal
Every day I feel balanced and calm today every single day.,Normal
Sometimes I am overwhelmed by financial stress and do not know what to do,Stress
Lately I feel like I have run out of reasons to stay alive every single day.,Suicidal
Sometimes I feel like I cannot meet everyone's expectations more than I would like to admit.,Stress
Honestly I feel burned out and exhausted from all the pressure lately.,Stress
For a while now I feel overwhelmed by sadness all the time lately.,Depression
Honestly Then suddenly I crash and feel totally depressed lately.,Bi-Polar
Leaving the house feels really hard some days,Anxiety
I think I spent too much money when I was feeling really good and it is exhausting.,Bi-Polar
It feels like My mood is unpredictable and it affects everyone around me lately.,Bi-Polar
Honestly I think the world would be better without me in it and it is hard.,Suicidal
I think I feel like giving up on life completely and it is hard.,Suicidal
Recently I don't want to wake up tomorrow and it is hard.,Suicidal
For a while now I have very high highs and very low lows and I do not know what to do.,Bi-Polar
To be honest I feel like my worry is out of control and I wish I could change it.,Anxiety
Sometimes I feel uneasy and I don't know why and it has been going on for a while.,Anxiety
Every day But last month I could not leave my room for weeks lately.,Bi-Polar
I feel like I feel healthy both mentally and physically today which is not normal for me.,Normal
Honestly I feel like my stress is making me physically ill lately.,Stress
Today I feel like I need constant reassurance that people care every single day.,Personality Disorder
Honestly Getting out of bed feels impossible these days and that worries me.,Depression
Today I am feeling steady and grounded more than I would like to admit.,Normal
I notice that I feel like no one understands how deeply I feel things and it has been going on for a while.,Personality Disorder
To be honest I have been isolating myself from friends and family and it is exhausting.,Depression
For a while now I don't see any reason to keep going,Suicidal
Honestly I feel like I am failing to keep up with everything and it has been going on for a while.,Stress
Recently I idealize people and then feel let down by them,Personality Disorder
To be honest I am overwhelmed by financial stress and do not know what to do lately.,Stress
For a while now I feel tense and stressed even when I wake up in the morning and I do not know what to do.,Stress
I feel like My mood swings so much it is hard to keep up which is not normal for me.,Bi-Polar
Every day But last month I could not leave my room for weeks and I do not know what to do.,Bi-Polar
Honestly I feel like I am stretched too thin and something has to give and it has been going on for a while.,Stress
Recently I don't want to wake up tomorrow which is not normal for me.,Suicidal
For a while now I feel content and grateful for my life and it has been going on for a while.,Normal
Sometimes I feel physically tense all the time because of stress and it is exhausting.,Stress
Honestly I feel like there is no end to the stress in my life more than I would like to admit.,Stress
For a while now I don't see any reason to keep going and that worries me.,Suicidal
Today Even good news can make me feel anxious and it is hard.,Anxiety
I am so stressed that I feel sick to my stomach,Stress
Today I don't see any reason to keep going and I do not know what to do.,Suicidal
I notice that My mind races at night and I can't fall asleep and I wish I could change it.,Anxiety
Often I feel grandiose and special sometimes but then worthless the next every single day.,Bi-Polar
I notice that I act impulsively to avoid feeling the pain I carry inside lately.,Personality Disorder
It feels like I get panic attacks out of nowhere and it is exhausting.,Anxiety
I feel like I feel so restless like I cannot sit still and I wish I could change it.,Anxiety
Lately I feel very creative and energetic sometimes without explanation and it has been going on for a while.,Bi-Polar
I feel like I am going through the motions every day lately.,Depression
Most days I feel confused about whether I am happy or sad more than I would like to admit.,Bi-Polar
To be honest I feel like everything is falling apart,Depression
I feel like I do not feel motivated to take care of myself and I do not know what to do.,Depression
Recently I feel like my emotions control me rather than the other way around which is not normal for me.,Personality Disorder
Recently I feel irritable and snappy because of stress,Stress
Often I think about hurting myself when the pain gets too bad more than I would like to admit.,Suicidal
It feels like I had racing thoughts for days and could not slow down more than I would like to admit.,Bi-Polar
To be honest I don't see the point in trying anymore and that worries me.,Depression
I have a fear of being alone that affects all my decisions every single day.,Personality Disorder
I feel like I am always behind no matter how hard I try more than I would like to admit.,Stress
Today I feel like a failure and nothing I do is good enough and it is hard.,Depression
Today I feel content and grateful for my life and it is exhausting.,Normal
Most days I went for a walk and felt refreshed and I wish I could change it.,Normal
